timestamp,dataset,from_run,to_run,from_wrmsse,to_wrmsse,holdout_from,holdout_to,tag,promoted_by
2026-09-13T13:16:21+00:00,m5_ca1,r033,r037,0.810828,0.805456,0.788779,0.788779,champion/m5_ca1/v1,human
2026-09-14T01:31:46+00:00,m5_ca1,r037,r060,0.805456,0.804787,0.788779,0.788779,champion/m5_ca1/v2,human
2026-09-18T02:06:32+00:00,m5_all,r083,r106,0.785019,0.69822,0.723437,0.626358,champion/m5_all/v1,human-directed (clean re-yardstick)
2026-09-20T14:21:56.203308+00:00,m5_all,r106,r147,0.69822,0.652342,0.626358,0.622271,champion/m5_all/v2,human-directed (SPEC v9 capacity, adversary PASS)
